ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEBB,67.647783333333,134.69371666667,213.0,975,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,688,2,АН,False,11884,271.39,21.25,0,2
UEBD,69.392580555556,139.88888055556,280.0,913,2,АН,False,14213,438.73,51.75,0,2
UESU,65.748666666667,150.8882,37.0,323,3,АН,False,8073,153.23,36.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,705,3,АН,False,0,0.0,0.0,0,4
UHMK,67.847297222222,166.13791944444,190.0,838,2,АН,False,23349,1570.0,210.0,0,2
UHMM,59.9109833,150.7204667,175.0,347,3,УА,True,376794,8309.0,1318.0,96958,1
UHPN,62.485775,165.33897777778,18.0,661,3,АН,False,1264,1.07,11.76,0,3
UHMO,64.665391666667,170.41100833333,26.0,904,3,АН,False,3332,105.0,39.0,0,2
UHPM,54.681555555556,158.55058055556,170.0,982,3,АН,False,30,0.0,0.0,0,2
UEMA,66.451355555556,143.26090555556,200.0,587,3,АН,False,10143,158.7,27.0,0,2
UHMN,65.238813888889,160.54523055556,263.0,472,3,АН,False,1792,154.0,10.0,0,2
UHMF,62.458791666667,155.74812222222,529.0,177,3,АН,False,7015,219.37,0.0,73600,2
UHPD,59.2235833,163.0663167,5.0,705,3,АН,True,8124,37.11,63.83,0,1
UHOO,59.4106167,143.0567167,14.0,636,3,АН,True,27777,1046.58,84.8,0,1
UHPL,59.082102777778,159.89120277778,25.0,587,3,АН,True,9570,20.09,81.41,0,1
UHPA,60.556205555556,169.11142777778,3.0,917,3,АН,False,1429,4.98,5.94,0,3
UHMW,61.9222334,159.2295667,6.0,368,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,0,3,АН,True,2008,102.79,0.0,0,1
UHPS,54.307222222222,155.97444444444,28.0,980,3,АН,False,807,3.59,8.72,0,3
UESK,67.4746,153.7297,19.0,511,2,АН,False,21468,784.63,72.89,0,2
UHPG,57.7842,158.73006666667,157.0,669,3,АН,False,4047,14.17,23.51,0,2
UHPT,60.38505,166.02572,1.0,772,3,АН,False,32928,65.47,254.82,0,3
UHPK,56.2388333,162.6900833,20.0,941,3,АН,False,1248,0.22,3.81,0,2
UEMU,60.35695,134.436375,171.0,991,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,493,3,АН,False,12484,33.65,66.08,0,2
UHPU,57.100327777778,156.73745277778,4.0,691,3,АН,False,3696,15.5,18.31,0,3
UEMH,62.789166666667,136.85501666667,286.0,790,3,АН,False,1889,14.76,10.24,0,2
UESS,68.741283333333,161.33971666667,5.0,764,2,АН,False,6829,148.87,42.43,0,1
UESO,70.625247222222,147.90034166667,51.0,881,2,АН,False,6592,253.0,22.25,0,2
