ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHMA,64.73485,177.74155,59.0,0,2,УА,True,95538,2164.34,1291.0,73600,1
UHMR,63.02125,179.2938667,20.0,205,2,АН,False,2534,23.0,40.0,0,2
UHME,66.358388888889,-179.10833888889,10.0,232,2,АН,False,11354,80.0,106.0,0,3
UHML,65.58095,-170.99915,1.0,535,2,АН,False,7344,77.0,125.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,624,3,АН,False,0,0.0,0.0,0,4
UHMK,67.847297222222,166.13791944444,190.0,624,2,АН,False,23349,1570.0,210.0,0,2
UHPN,62.485775,165.33897777778,18.0,663,3,АН,False,1264,1.07,11.76,0,3
UHMO,64.665391666667,170.41100833333,26.0,349,3,АН,False,3332,105.0,39.0,0,2
UHMN,65.238813888889,160.54523055556,263.0,811,3,АН,False,1792,154.0,10.0,0,2
UHPD,59.2235833,163.0663167,5.0,980,3,АН,True,8124,37.11,63.83,0,1
UHPA,60.556205555556,169.11142777778,3.0,641,3,АН,False,1429,4.98,5.94,0,3
UHMP,69.7834667,170.5965833,3.0,640,2,АН,True,24226,959.0,113.0,0,1
UHMD,64.379016666667,-173.24278888889,22.0,433,2,АН,False,6200,32.0,87.0,0,2
UHMW,61.9222334,159.2295667,6.0,974,3,АН,False,7745,41.9,24.58,0,2
UHPT,60.38505,166.02572,1.0,771,3,АН,False,32928,65.47,254.82,0,3
UESS,68.741283333333,161.33971666667,5.0,846,2,АН,False,6829,148.87,42.43,0,1
