ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHPM,54.681555555556,158.55058055556,170.0,561,3,АН,False,30,0.0,0.0,0,2
UHPX,55.178275,166.04849722222,52.0,920,3,АН,False,1863,4.54,10.84,0,3
UHSN,51.783983333333,143.14178333333,39.0,883,3,АН,True,40938,0.0,0.0,92548,1
UHQO,51.499183333333,156.54358333333,6.0,183,3,АН,False,13,0.04,0.48,0,3
UHSH,53.517722222222,142.87996388889,38.0,946,3,АН,False,44347,86.53,28.04,96151,2
ZD5W,50.015766666667,155.39833333333,13.0,0,3,АН,False,0,0.0,0.0,0,3
UHPP,53.1701833,158.4534833,40.0,409,3,УА,True,658689,10020.97,1635.3,67717,1
UHPS,54.307222222222,155.97444444444,28.0,479,3,АН,False,807,3.59,8.72,0,3
UHPG,57.7842,158.73006666667,157.0,891,3,АН,False,4047,14.17,23.51,0,2
UHPK,56.2388333,162.6900833,20.0,846,3,АН,False,1248,0.22,3.81,0,2
UHPU,57.100327777778,156.73745277778,4.0,793,3,АН,False,3696,15.5,18.31,0,3
UHSK,49.1906333,142.08315,17.0,965,3,АН,True,7939,6.54,0.0,0,1
HC3Y,43.8664,146.82759166667,25.0,943,3,АН,False,0,0.0,0.0,0,4
UHSM,43.961061111111,145.68497777778,216.0,998,3,АН,True,24348,65.59,25.7,70897,1
UHSS,46.885483333333,142.71731666667,18.0,999,3,УА,True,985211,10556.14,1251.41,79460,1
UHSI,45.256366666667,147.95586666667,120.0,769,3,АН,True,24443,61.28,22.44,0,1
