ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNAA,53.740102777778,91.385213888889,253.0,529,1,УА,True,185185,1000.04,168.59,73889,1
UNIB,61.6776167,96.3534167,260.0,427,3,АН,True,31268,216.06,21.94,64565,1
UNBB,53.3639,83.542333333333,255.0,780,1,УА,True,512317,2539.72,609.43,62900,1
UIBB,56.3706167,101.69845,491.0,621,3,УА,True,115548,721.01,104.89,65900,1
UNIW,60.356513888889,102.31071111111,272.0,615,3,АН,True,1466,6.58,3.63,73562,1
UNBG,51.969166666667,85.836516666667,295.0,826,1,УА,True,60232,0.0,0.0,64335,1
UNII,58.4746333,92.1121833,77.0,0,3,АН,True,0,0.0,0.0,0,1
UIKE,61.27515,108.02978333333,303.0,941,3,АН,False,7865,85.78,18.3,0,2
UNEE,55.270030555556,86.107572222222,266.0,510,1,УА,True,398026,3219.76,486.7,63500,1
UIKK,57.772802777778,108.05899166667,257.0,940,3,АН,True,29012,518.31,89.91,0,1
UNKI,58.480033333333,99.09505,306.0,407,3,АН,True,3423,15.63,1.03,49661,1
UNKL,56.172933333333,92.49325,287.0,257,3,УА,True,2258634,13852.29,1769.69,76285,1
UNKY,51.6694333,94.4005333,653.0,771,1,УА,True,24786,13.33,0.58,76285,1
UNIM,58.1809167,94.7447167,165.0,157,3,АН,False,3854,878.6,0.0,0,3
USNN,60.949861111111,76.482952777778,54.0,919,3,УА,True,669872,3453.8,282.1,65000,1
UNWW,53.811941666667,86.878388888889,312.0,612,1,УА,True,234409,1621.3,95.5,64000,1
UNNT,55.033216666667,82.599166666667,111.0,695,1,УА,False,4809605,22012.5,7610.5,64100,1
UNIP,61.591522222222,89.998891666667,87.0,366,3,АН,True,10560,16.9,18.65,63202,1
UNIS,60.373272222222,93.011622222222,526.0,217,3,АН,True,24521,7.14,43.56,73280,1
USDO,63.987891666667,82.050516666667,33.0,816,3,АН,False,7872,71.92,16.17,0,2
UNTT,56.381705555556,85.208763888889,182.0,475,3,УА,True,617717,1896.32,418.84,64867,1
UNIT,64.3339,100.4324,614.0,788,3,АН,True,2066,10.22,5.65,63305,1
UOTT,65.800391666667,87.929555555556,39.0,844,3,АН,True,19684,564.23,52.03,62256,1
UITT,56.857519444444,105.73105,667.0,830,3,АН,True,83521,475.52,28.22,63295,1
