ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,629,1,УА,True,1362793,729.05,0.0,66526,1
URWA,46.282825,48.011227777778,-20.0,972,1,УА,True,580910,801.22,307.82,61825,1
UWSB,51.8588,47.745466666667,27.0,789,3,УА,True,0,0.0,0.0,0,1
UUOB,50.643722222222,36.590458333333,224.0,0,1,УА,True,468773,46.33,0.0,57000,1
UUBP,53.2144167,34.1759667,203.0,330,3,УА,True,20444,30.39,0.0,55917,1
ULLK,58.62745,31.383716666667,32.0,949,2,УА,True,0,0.0,0.0,0,1
URWW,48.783047222222,44.344352777778,145.0,595,1,УА,True,1013823,873.2,766.0,61530,1
ULWW,59.2817667,39.9447667,118.0,984,3,УА,True,5315,0.3,0.0,56713,1
UUOO,51.815033333333,39.229666666667,157.0,225,3,УА,True,606289,202.59,278.68,45800,1
URKG,44.582016666667,38.013,40.0,682,1,УА,True,294865,7.43,0.0,63593,1
UUBW,55.55285,38.1498,123.0,556,3,УА,True,425500,1556.0,0.0,58500,1
UUBI,56.9425,40.9320667,125.0,756,3,УА,True,22953,582.6,75.75,62500,1
UUBC,54.548486111111,36.371188888889,201.0,434,3,УА,True,18145,2.81,0.0,58724,1
UUBA,57.7973833,41.0193,136.0,846,3,УА,True,7357,0.0,0.0,54600,1
URKK,45.035,39.17,36.0,652,1,УА,False,3494987,5979.14,2132.94,62017,1
UUOK,51.75055,36.2957667,206.0,124,1,УА,True,32871,89.5,0.0,58724,1
UUOL,52.70325,39.53775,178.0,306,3,УА,True,63821,0.0,0.0,56154,1
URMM,44.226794444444,43.082991666667,319.0,864,1,УА,True,2180178,2111.85,819.43,63500,1
UUWW,55.6,37.2733333,209.0,553,3,УА,True,18138865,58493.98,10259.52,57500,1
UUDD,55.4083167,37.9066667,181.0,537,3,УА,False,30657854,122862.35,25472.5,58870,1
UUEE,55.972397222222,37.413052777778,192.0,595,3,УА,False,39641443,293972.5,35727.3,62080,1
URMN,43.512933333333,43.63665,446.0,955,1,УА,True,236865,177.0,299.9,64000,1
UWGG,56.2299167,43.7841333,78.0,783,3,УА,True,961491,948.38,311.97,62780,1
UWPP,53.109236111111,45.026119444444,184.0,641,3,УА,True,152881,22.78,0.0,61136,1
ULOO,57.784011111111,28.395363888889,47.0,956,2,УА,True,4142,33.57,0.0,0,1
URRP,47.493994444444,39.924811111111,86.0,426,1,УА,False,187252,329.11,62.17,61680,1
UWWW,53.501111111111,50.153888888889,145.0,981,1,УА,True,2631729,2936.24,579.01,61650,1
UWPS,54.1252667,45.21265,216.0,702,3,УА,True,0,0.0,0.0,61014,1
UWSG,51.712641666667,46.170877777778,30.0,679,1,УА,True,481503,490.6,399.6,59748,1
URFB,44.691930555556,33.574397222222,105.0,699,1,УА,True,0,0.0,0.0,0,1
URFF,45.05205,33.973816666667,183.0,651,1,УА,False,5128743,7112.9,642.6,78263,1
URSS,43.4445,39.9488166,27.0,839,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,740,1,УА,True,356210,794.0,437.0,74759,1
UUOT,52.806375,41.482763888889,126.0,414,3,УА,True,31294,0.0,0.0,58433,1
UWLL,54.268333,48.223611,141.0,886,3,УА,True,0,0.0,0.0,64227,1
UWKS,56.0902667,47.3472,171.0,936,3,УА,True,251780,0.0,0.0,65781,1
ULWC,59.27605,38.01875,115.0,965,3,УА,True,149068,30.86,0.0,52500,1
URWI,46.3745833,44.32385,152.0,742,3,УА,True,10898,8.16,0.02,80165,1
UUDL,57.560627777778,40.157363888889,93.0,804,3,УА,True,23817,5811.95,0.0,56500,1
ZFC7,42.8582667,41.1280667,12.0,931,1,БН,True,0,0.0,0.0,72000,1
UKCC,48.075016666667,37.725516666667,241.0,297,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,319,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,322,1,БН,True,0,0.0,0.0,0,1
UKOH,46.675966666667,32.506283333333,45.0,533,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,401,1,БН,True,0,0.0,0.0,0,1
