ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UHMA,64.73485,177.74155,59.0,624,2,УА,True,95538,2164.34,1291.0,73600,1
UESG,68.557097222222,146.23116388889,27.0,825,2,АН,False,11884,271.39,21.25,0,2
UHMR,63.02125,179.2938667,20.0,810,2,АН,False,2534,23.0,40.0,0,2
UHME,66.358388888889,-179.10833888889,10.0,660,2,АН,False,11354,80.0,106.0,0,3
UESU,65.748666666667,150.8882,37.0,708,3,АН,False,8073,153.23,36.0,0,2
UHPZ,62.470333333333,166.19521666667,50.0,599,3,АН,False,0,0.0,0.0,0,4
UHMK,67.847297222222,166.13791944444,190.0,0,2,АН,False,23349,1570.0,210.0,0,2
UHPN,62.485775,165.33897777778,18.0,598,3,АН,False,1264,1.07,11.76,0,3
UHMO,64.665391666667,170.41100833333,26.0,403,3,АН,False,3332,105.0,39.0,0,2
UEMA,66.451355555556,143.26090555556,200.0,997,3,АН,False,10143,158.7,27.0,0,2
UHMN,65.238813888889,160.54523055556,263.0,382,3,АН,False,1792,154.0,10.0,0,2
UHMF,62.458791666667,155.74812222222,529.0,771,3,АН,False,7015,219.37,0.0,73600,2
UHPD,59.2235833,163.0663167,5.0,973,3,АН,True,8124,37.11,63.83,0,1
UHPA,60.556205555556,169.11142777778,3.0,825,3,АН,False,1429,4.98,5.94,0,3
UHMP,69.7834667,170.5965833,3.0,280,2,АН,True,24226,959.0,113.0,0,1
UHMW,61.9222334,159.2295667,6.0,736,3,АН,False,7745,41.9,24.58,0,2
UHMS,62.919722222222,152.42194444444,208.0,838,3,АН,True,2008,102.79,0.0,0,1
UESK,67.4746,153.7297,19.0,527,2,АН,False,21468,784.63,72.89,0,2
UHPT,60.38505,166.02572,1.0,831,3,АН,False,32928,65.47,254.82,0,3
UESS,68.741283333333,161.33971666667,5.0,221,2,АН,False,6829,148.87,42.43,0,1
UESO,70.625247222222,147.90034166667,51.0,781,2,АН,False,6592,253.0,22.25,0,2
