ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UNAA,53.740102777778,91.385213888889,253.0,422,1,УА,True,185185,1000.04,168.59,73889,1
UNBB,53.3639,83.542333333333,255.0,219,1,УА,True,512317,2539.72,609.43,62900,1
UNBG,51.969166666667,85.836516666667,295.0,0,1,УА,True,60232,0.0,0.0,64335,1
UNII,58.4746333,92.1121833,77.0,826,3,АН,True,0,0.0,0.0,0,1
UNEE,55.270030555556,86.107572222222,266.0,367,1,УА,True,398026,3219.76,486.7,63500,1
UNKL,56.172933333333,92.49325,287.0,638,3,УА,True,2258634,13852.29,1769.69,76285,1
UNKY,51.6694333,94.4005333,653.0,591,1,УА,True,24786,13.33,0.58,76285,1
UNIM,58.1809167,94.7447167,165.0,894,3,АН,False,3854,878.6,0.0,0,3
UNWW,53.811941666667,86.878388888889,312.0,216,1,УА,True,234409,1621.3,95.5,64000,1
UNNT,55.033216666667,82.599166666667,111.0,402,1,УА,False,4809605,22012.5,7610.5,64100,1
UNOO,54.9671667,73.31025,95.0,894,1,УА,True,948248,3267.0,664.0,59907,1
UNTT,56.381705555556,85.208763888889,182.0,492,3,УА,True,617717,1896.32,418.84,64867,1
