ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,770,1,УА,True,1362793,729.05,0.0,66526,1
URWA,46.282825,48.011227777778,-20.0,887,1,УА,True,580910,801.22,307.82,61825,1
UWSB,51.8588,47.745466666667,27.0,586,3,УА,True,0,0.0,0.0,0,1
UUOB,50.643722222222,36.590458333333,224.0,225,1,УА,True,468773,46.33,0.0,57000,1
UUBP,53.2144167,34.1759667,203.0,376,3,УА,True,20444,30.39,0.0,55917,1
ULLK,58.62745,31.383716666667,32.0,906,2,УА,True,0,0.0,0.0,0,1
URWW,48.783047222222,44.344352777778,145.0,496,1,УА,True,1013823,873.2,766.0,61530,1
ULWW,59.2817667,39.9447667,118.0,832,3,УА,True,5315,0.3,0.0,56713,1
UUOO,51.815033333333,39.229666666667,157.0,0,3,УА,True,606289,202.59,278.68,45800,1
URKG,44.582016666667,38.013,40.0,809,1,УА,True,294865,7.43,0.0,63593,1
UUBW,55.55285,38.1498,123.0,422,3,УА,True,425500,1556.0,0.0,58500,1
UUBI,56.9425,40.9320667,125.0,581,3,УА,True,22953,582.6,75.75,62500,1
UWKJ,56.70505,47.8951833,106.0,783,3,УА,True,465,0.0,0.0,63958,1
UWKD,55.60695,49.280316666667,125.0,785,3,УА,False,2623423,2360.13,607.5,61455,1
UUBC,54.548486111111,36.371188888889,201.0,359,3,УА,True,18145,2.81,0.0,58724,1
USKK,58.5033333,49.3465833,148.0,982,3,УА,True,166160,102.1,41.3,56200,1
UUBA,57.7973833,41.0193,136.0,675,3,УА,True,7357,0.0,0.0,54600,1
URKK,45.035,39.17,36.0,753,1,УА,False,3494987,5979.14,2132.94,62017,1
UUOK,51.75055,36.2957667,206.0,202,1,УА,True,32871,89.5,0.0,58724,1
UUOL,52.70325,39.53775,178.0,101,3,УА,True,63821,0.0,0.0,56154,1
URMM,44.226794444444,43.082991666667,319.0,891,1,УА,True,2180178,2111.85,819.43,63500,1
UUWW,55.6,37.2733333,209.0,440,3,УА,True,18138865,58493.98,10259.52,57500,1
UUDD,55.4083167,37.9066667,181.0,409,3,УА,False,30657854,122862.35,25472.5,58870,1
UUEE,55.972397222222,37.413052777778,192.0,477,3,УА,False,39641443,293972.5,35727.3,62080,1
URMN,43.512933333333,43.63665,446.0,980,1,УА,True,236865,177.0,299.9,64000,1
UWKE,55.564677777778,52.092486111111,196.0,944,3,УА,True,587361,637.0,16.0,0,1
UWGG,56.2299167,43.7841333,78.0,574,3,УА,True,961491,948.38,311.97,62780,1
UWPP,53.109236111111,45.026119444444,184.0,419,3,УА,True,152881,22.78,0.0,61136,1
ULOO,57.784011111111,28.395363888889,47.0,960,2,УА,True,4142,33.57,0.0,0,1
URRP,47.493994444444,39.924811111111,86.0,483,1,УА,False,187252,329.11,62.17,61680,1
UWWW,53.501111111111,50.153888888889,145.0,761,1,УА,True,2631729,2936.24,579.01,61650,1
UWPS,54.1252667,45.21265,216.0,476,3,УА,True,0,0.0,0.0,61014,1
UWSG,51.712641666667,46.170877777778,30.0,479,1,УА,True,481503,490.6,399.6,59748,1
URFB,44.691930555556,33.574397222222,105.0,895,1,УА,True,0,0.0,0.0,0,1
URFF,45.05205,33.973816666667,183.0,846,1,УА,False,5128743,7112.9,642.6,78263,1
URSS,43.4445,39.9488166,27.0,932,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,775,1,УА,True,356210,794.0,437.0,74759,1
UUOT,52.806375,41.482763888889,126.0,189,3,УА,True,31294,0.0,0.0,58433,1
UWLL,54.268333,48.223611,141.0,661,3,УА,True,0,0.0,0.0,64227,1
UWKS,56.0902667,47.3472,171.0,713,3,УА,True,251780,0.0,0.0,65781,1
ULWC,59.27605,38.01875,115.0,834,3,УА,True,149068,30.86,0.0,52500,1
URWI,46.3745833,44.32385,152.0,709,3,УА,True,10898,8.16,0.02,80165,1
UUDL,57.560627777778,40.157363888889,93.0,642,3,УА,True,23817,5811.95,0.0,56500,1
UKCC,48.075016666667,37.725516666667,241.0,429,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,377,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,521,1,БН,True,0,0.0,0.0,0,1
UKOH,46.675966666667,32.506283333333,45.0,751,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,542,1,БН,True,0,0.0,0.0,0,1
