ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
UEBB,67.647783333333,134.69371666667,213.0,0,3,АН,False,29314,864.8,67.33,0,2
UESG,68.557097222222,146.23116388889,27.0,490,2,АН,False,11884,271.39,21.25,0,2
UENI,63.459033333333,120.26883333333,135.0,810,3,АН,False,3014,9.98,2.4,0,2
UENW,63.7572,121.69193333333,112.0,735,3,АН,True,4639,12.86,5.24,0,1
UEBD,69.392580555556,139.88888055556,280.0,287,2,АН,False,14213,438.73,51.75,0,2
UEVV,66.795433333333,123.36255,96.0,498,3,АН,False,10908,160.28,19.62,0,2
UESU,65.748666666667,150.8882,37.0,743,3,АН,False,8073,153.23,36.0,0,2
UEMM,62.108008333333,129.56426111111,198.0,663,3,АН,False,10672,295.96,18.87,0,2
UEMA,66.451355555556,143.26090555556,200.0,395,3,АН,False,10143,158.7,27.0,0,2
UENN,63.296966666667,118.34286666667,118.0,895,3,АН,False,20460,30.39,73.6,0,2
UERO,68.51475,112.47993333333,231.0,925,3,АН,False,10388,214.51,19.53,0,2
UERP,66.4002667,112.0301833,519.0,991,2,АН,True,58237,502.76,21.33,0,1
UEBS,67.792558333333,130.39040833333,505.0,182,3,АН,False,6251,225.21,15.48,0,2
UEMS,63.95915,127.42121666667,64.0,528,3,АН,False,1598,4.9,14.32,0,2
UERS,71.927886111111,114.0795,14.0,920,2,АН,False,13704,253.5,17.5,0,2
UHMS,62.919722222222,152.42194444444,208.0,975,3,АН,True,2008,102.79,0.0,0,1
UESK,67.4746,153.7297,19.0,808,2,АН,False,21468,784.63,72.89,0,2
UEST,71.696616666667,128.90313333333,9.0,503,2,АН,True,17253,517.8,74.28,0,1
UEBT,70.010911111111,135.64345833333,100.0,266,2,АН,False,4039,248.52,9.35,0,2
UEMU,60.35695,134.436375,171.0,812,3,АН,False,10676,79.6,30.4,0,2
UEMT,64.549983333333,143.11411388889,525.0,513,3,АН,False,12484,33.65,66.08,0,2
UEMH,62.789166666667,136.85501666667,286.0,550,3,АН,False,1889,14.76,10.24,0,2
UESO,70.625247222222,147.90034166667,51.0,619,2,АН,False,6592,253.0,22.25,0,2
UEEE,62.094033333333,129.77613333333,100.0,661,3,УА,True,902463,10858.05,2225.73,73227,1
